src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,src1_port2_mbps_cv,src1_port2_load_util,src1_port3_mbps_cv,src1_port3_load_util,src1_port4_mbps_cv,src1_port4_load_util,src1_port5_mbps_cv,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Latency_p99_ms,Label_Jitter_ms,Label_Loss_Rate
64,0.7204,0.111,64,0.7156,0.1131,6,0.9109,0.143,6,0.8854,0.1484,0.1541,0.9005,0.158,0.8945,0.157,0.7591,0.1676,0.7378,58,0.0905,140,3.6,5,0.8,5,0.8,5,1.2,5,1.2,794.3477777777778,1174.8000000000002,16.684337321965387,6.063432835820896
64,0.72,0.1498,64,0.7209,0.1396,48,1.1123,0.2469,47,1.1105,0.2473,0.2081,0.9,0.1936,0.9011,0.222,0.9269,0.2227,0.9254,17,0.1955,223,4.8,8,0.8,8,0.8,5,1.2,5,1.2,1312.2685714285715,1702.66,12.298196155091757,17.202048417132215
64,0.7235,0.1346,64,0.724,0.1297,5,0.6185,0.1586,6,0.6085,0.1718,0.186,0.9044,0.1791,0.905,0.2564,0.5154,0.2823,0.5071,59,0.0552,139,3.6,7,0.8,7,0.8,2,1.2,2,1.2,1207.61,1718.94,16.50727572796544,18.314676616915424
6,0.3024,0.0667,6,0.322,0.0727,5,0.3055,0.0633,5,0.3115,0.0765,0.2206,0.378,0.2258,0.4025,0.2072,0.2546,0.2456,0.2596,1,0.0075,22,1.2,8,0.8,8,0.8,6,1.2,6,1.2,56.853500000000004,279.910000000001,40.40857954045377,0.0
64,0.7034,0.1347,64,0.704,0.1324,17,0.6267,0.1391,17,0.6006,0.1492,0.1915,0.8792,0.1881,0.88,0.222,0.5223,0.2484,0.5005,47,0.046,162,3.6,4,0.8,4,0.8,2,1.2,2,1.2,1341.3204347826088,1962.3999999999999,14.804059904491941,22.512437810945272
58,0.6994,0.1579,58,0.7007,0.1694,64,1.1118,0.2228,64,1.1205,0.2561,0.2258,0.8742,0.2418,0.8759,0.2004,0.9265,0.2286,0.9338,6,0.2081,244,4.8,3,0.8,3,0.8,8,1.2,8,1.2,1567.7834666666668,2611.0800000000004,35.61452817409651,17.50465549348231
64,0.6804,0.1757,64,0.6894,0.1745,64,1.0867,0.2683,64,1.0916,0.2745,0.2582,0.8505,0.2531,0.8618,0.2469,0.9056,0.2515,0.9097,0,0.2022,256,4.8,4,0.8,4,0.8,5,1.2,5,1.2,2508.2381690140846,3405.3,30.476876434233162,13.361266294227189
5,0.3046,0.0793,4,0.3052,0.0855,25,0.9085,0.237,24,0.9318,0.2332,0.2603,0.3808,0.2801,0.3815,0.2609,0.7571,0.2503,0.7765,21,0.3077,58,2.4,2,0.8,2,0.8,6,1.2,6,1.2,139.4029,496.1900000000001,17.035468444378818,0.41899441340782123
2,0.1585,0.0373,2,0.1421,0.038,4,0.449,0.0683,5,0.4677,0.0749,0.2353,0.1981,0.2674,0.1776,0.1521,0.3742,0.1601,0.3898,3,0.1543,13,1.2,2,0.8,2,0.8,5,1.2,5,1.2,52.7508,243.1600000000006,16.01786897400123,0.0
64,0.7571,0.1007,64,0.7567,0.1038,3,0.623,0.0907,3,0.5823,0.089,0.133,0.9464,0.1372,0.9459,0.1456,0.5192,0.1528,0.4853,61,0.0785,134,3.6,3,0.8,3,0.8,6,1.2,6,1.2,87.68069999999997,386.46000000000026,17.644009135243223,17.319651741293534
64,0.7158,0.1621,64,0.7016,0.1378,4,0.591,0.1406,4,0.5729,0.1288,0.2265,0.8948,0.1964,0.877,0.2379,0.4925,0.2248,0.4774,60,0.0639,136,3.6,2,0.8,2,0.8,1,1.2,1,1.2,1510.3404615384616,2230.7599999999998,40.884829153431035,25.155472636815922
4,0.4081,0.0644,4,0.4022,0.0632,2,0.1933,0.0434,2,0.2109,0.0399,0.1578,0.5101,0.1571,0.5027,0.2245,0.1611,0.1892,0.1758,2,0.1017,12,1.2,7,0.8,7,0.8,4,1.2,4,1.2,43.231,97.94300000000013,22.4164351760424,0.0
14,0.3908,0.1059,13,0.3741,0.1028,4,0.2641,0.0845,4,0.2616,0.0787,0.271,0.4885,0.2748,0.4676,0.32,0.2201,0.3008,0.218,10,0.0601,35,1.2,7,0.8,7,0.8,4,1.2,4,1.2,135.5429,684.0000000000005,49.0248319263039,0.3703703703703704
7,0.1088,0.0574,2,0.0991,0.0289,16,0.5115,0.1051,17,0.5265,0.119,0.5276,0.136,0.2916,0.1239,0.2055,0.4262,0.226,0.4388,15,0.2076,42,1.2,5,0.8,5,0.8,7,1.2,7,1.2,64.11060000000002,415.69000000000136,21.009881004378634,0.0
13,0.4599,0.0848,14,0.4627,0.0991,2,0.1623,0.0365,2,0.1451,0.0436,0.1844,0.5749,0.2142,0.5784,0.2249,0.1352,0.3005,0.1209,12,0.1539,31,1.2,8,0.8,8,0.8,4,1.2,4,1.2,48.81120000000001,205.06000000000003,17.994775230057694,0.0
